,title,title_split,temp,temp_level,temp_title,temp_score
0,ad,ad,"(nan, nan, 50)",,,50
1,aim associate directort,aim associate directort,"(director, nan, 60)",director,,60
2,avp,assistant vp,"(vp, nan, 63)",vp,,63
3,avp data management,assistant vp data management,"(vp, data management, 85)",vp,data management,85
4,avp-dmo,assistant vp dmo,"(vp, nan, 63)",vp,,63
5,account executive,account executive,"(c-level, nan, 65)",c-level,,65
6,alliances manager,alliances manager,"(manager, nan, 58)",manager,,58
7,analyst,analyst,"(nan, nan, 50)",,,50
8,architect,architect,"(nan, nan, 50)",,,50
9,assistant manager,assistant manager,"(manager, nan, 58)",manager,,58
10,associate director,associate director,"(director, nan, 60)",director,,60
11,associate director aim business consulting,associate director aim business consulting,"(director, nan, 60)",director,,60
12,associate manager,associate manager,"(manager, nan, 58)",manager,,58
13,audit manager,audit manager,"(manager, nan, 58)",manager,,58
14,avocat,avocat,"(nan, nan, 50)",,,50
15,bcbs239 change lead,change lead,"(manager, nan, 58)",manager,,58
16,bi,business intelligence,"(individual contributer, business intelligence, 70)",individual contributer,business intelligence,70
17,bi junior consultant,business intelligence junior consultant,"(individual contributer, business intelligence, 70)",individual contributer,business intelligence,70
18,bi and integration manager,business intelligence and integration manager,"(manager, business intelligence, 80)",manager,business intelligence,80
19,big data,big data,"(nan, big data, 60)",,big data,60
20,bulk annuities and investment strategy,bulk annuities and investment strategy,"(nan, nan, 50)",,,50
21,business analist,business analyst,"(individual contributer, business analyst, 60)",individual contributer,business analyst,60
22,business analyst,business analyst,"(individual contributer, business analyst, 60)",individual contributer,business analyst,60
23,business analyst - data governance,business analyst data governance,"(individual contributer, data governance, 80)",individual contributer,data governance,80
24,business architect,business architect,"(nan, nan, 50)",,,50
25,business architecture & data,business architecture data,"(nan, data, 55)",,data,55
26,business data officer,business data officer,"(individual contributer, data officer, 80)",individual contributer,data officer,80
27,business development manager,business development manager,"(manager, business development, 18)",manager,business development,18
28,business manager,business manager,"(manager, nan, 58)",manager,,58
29,business process consultant,business process consultant,"(consultant, nan, 51)",consultant,,51
30,business development,business development,"(nan, business development, 10)",,business development,10
31,cco,cco,"(nan, nan, 50)",,,50
32,cdo,chief data officer,"(individual contributer, chief data officer, 100)",individual contributer,chief data officer,100
33,cdo office,chief data officer office,"(c-level, chief data officer, 100)",c-level,chief data officer,100
34,ceo,chief executive officer,"(c-level, nan, 65)",c-level,,65
35,cfa,cfa,"(nan, nan, 50)",,,50
36,cib it & operations cdo,cib it operations chief data officer,"(c-level, chief data officer, 100)",c-level,chief data officer,100
37,cio,chief information officer,"(individual contributer, chief information officer, 70)",individual contributer,chief information officer,70
38,cmo,chief medical officer,"(c-level, medical officer, 85)",c-level,medical officer,85
39,compliance officer,compliance officer,"(nan, compliance, 60)",,compliance,60
40,coo,chief operating officer,"(individual contributer, chief operating officer, 85)",individual contributer,chief operating officer,85
41,consultant,consultant,"(consultant, nan, 51)",consultant,,51
42,cpo,cpo,"(nan, nan, 50)",,,50
43,cso,cso,"(nan, nan, 50)",,,50
44,csvm tech,csvm tech,"(nan, nan, 50)",,,50
45,cto,chief technology officer,"(c-level, nan, 65)",c-level,,65
46,chief data officer,chief data officer,"(individual contributer, chief data officer, 100)",individual contributer,chief data officer,100
47,chief information security officer,chief information security officer,"(individual contributer, chief information security officer, 65)",individual contributer,chief information security officer,65
48,chief operating officer,chief operating officer,"(individual contributer, chief operating officer, 85)",individual contributer,chief operating officer,85
49,chief product owner,chief product owner,"(c-level, nan, 65)",c-level,,65
50,client data manager,client data manager,"(manager, data manager, 80)",manager,data manager,80
51,co-founder & managing director,co founder managing director,"(director, nan, 60)",director,,60
52,colibre product owner,colibre product owner,"(nan, nan, 50)",,,50
53,compliance,compliance,"(nan, compliance, 60)",,compliance,60
54,compliance consultant,compliance consultant,"(consultant, compliance, 61)",consultant,compliance,61
55,compliance data governance analyst,compliance data governance analyst,"(individual contributer, data governance, 80)",individual contributer,data governance,80
56,compliance manager,compliance manager,"(manager, compliance, 68)",manager,compliance,68
57,computer programmer,computer programmer,"(nan, programmer, 20)",,programmer,20
58,consulting partner,consulting partner,"(nan, nan, 50)",,,50
59,corporate master data manager,corporate master data manager,"(manager, data manager, 80)",manager,data manager,80
60,customer success manager,customer success manager,"(manager, nan, 58)",manager,,58
61,dba,dba,"(nan, nan, 50)",,,50
62,dpidoprygora,dpidoprygora,"(nan, nan, 50)",,,50
63,dqm,dqm,"(nan, nan, 50)",,,50
64,data achitect,data achitect,"(nan, data, 55)",,data,55
65,"data advisory: strategy, architecture & governance",data advisory strategy architecture governance,"(consultant, governance data, 66)",consultant,governance data,66
66,data architect,data architect,"(individual contributer, data architect, 65)",individual contributer,data architect,65
67,data consultant,data consultant,"(consultant, data, 56)",consultant,data,56
68,data design & definition manager,data design definition manager,"(manager, data, 63)",manager,data,63
69,data dictionary manager,data dictionary manager,"(manager, data, 63)",manager,data,63
70,data dictionary metadata analyst,data dictionary metadata analyst,"(nan, metadata data, 70)",,metadata data,70
71,data engineer,data engineer,"(individual contributer, data engineer, 65)",individual contributer,data engineer,65
72,data governance,data governance,"(individual contributer, data governance, 80)",individual contributer,data governance,80
73,data governance analyst,data governance analyst,"(individual contributer, data governance, 80)",individual contributer,data governance,80
74,data governance consultant,data governance consultant,"(consultant, data governance, 70)",consultant,data governance,70
75,data governance lead,data governance lead,"(manager, data governance, 95)",manager,data governance,95
76,data governance manager,data governance manager,"(manager, data governance, 95)",manager,data governance,95
77,data governance manager - process governance and improvement,data governance manager process governance and improvement,"(manager, data governance, 95)",manager,data governance,95
78,data governance specialist,data governance specialist,"(individual contributer, data governance, 80)",individual contributer,data governance,80
79,data governance and quality leader,data governance and quality leader,"(individual contributer, data governance, 80)",individual contributer,data governance,80
80,data managememt policy manager,data managememt policy manager,"(manager, data, 63)",manager,data,63
81,data management,data management,"(individual contributer, data management, 80)",individual contributer,data management,80
82,data management consultant,data management consultant,"(consultant, data management, 60)",consultant,data management,60
83,data management expert | data governance solutions leader,data management expert data governance solutions leader,"(individual contributer, data governance, 80)",individual contributer,data governance,80
84,data management governance and control senior consultant,data management governance and control senior consultant,"(individual contributer, data management, 80)",individual contributer,data management,80
85,data management lead,data management lead,"(manager, data management, 80)",manager,data management,80
86,data manager,data manager,"(individual contributer, data manager, 80)",individual contributer,data manager,80
87,data office,data office,"(individual contributer, data office, 80)",individual contributer,data office,80
88,data privacy officer,data privacy officer,"(nan, data, 55)",,data,55
89,data protection and privacy (incl gdpr) consultancy,data protection and privacy incl gdpr consultancy,"(nan, data protection, 65)",,data protection,65
90,data quality - senior associate,data quality senior associate,"(individual contributer, data quality, 60)",individual contributer,data quality,60
91,data quality analyst - risk management dept,data quality analyst risk management dept,"(individual contributer, data quality, 60)",individual contributer,data quality,60
92,data quality business analysis,data quality business analysis,"(individual contributer, data quality, 60)",individual contributer,data quality,60
93,data quality consultant,data quality consultant,"(consultant, data quality, 50)",consultant,data quality,50
94,data quality lead,data quality lead,"(manager, data quality, 75)",manager,data quality,75
95,data quality manager,data quality manager,"(manager, data quality, 75)",manager,data quality,75
96,data risk-compliance lead,data risk compliance lead,"(manager, compliance data, 73)",manager,compliance data,73
97,data steward,data steward,"(individual contributer, data steward, 85)",individual contributer,data steward,85
98,data steward for customer privacy compliance,data steward for customer privacy compliance,"(individual contributer, data steward, 85)",individual contributer,data steward,85
99,data warehouse consultan,data warehouse consultan,"(individual contributer, data warehouse, 70)",individual contributer,data warehouse,70
100,datamanager nn bank,datamanager nn bank,"(manager, data, 63)",manager,data,63
101,delivery manager,delivery manager,"(manager, nan, 58)",manager,,58
102,department head data governance / senior data steward,department head data governance senior data steward,"(department head, data governance, 95)",department head,data governance,95
103,digital director emea,digital director emea,"(director, nan, 60)",director,,60
104,director,director,"(director, nan, 60)",director,,60
105,director consulting,director consulting,"(director, nan, 60)",director,,60
106,director data governance,director data governance,"(director, data governance, 95)",director,data governance,95
107,director information governance,director information governance,"(director, information governance, 77)",director,information governance,77
108,director risk management,director risk management,"(director, risk management, 75)",director,risk management,75
109,director of business development,director of business development,"(director, business development, 20)",director,business development,20
110,director of compliance,director of compliance,"(director, compliance, 70)",director,compliance,70
111,director of information management,director of information management,"(director, information management, 90)",director,information management,90
112,"director, business development",director business development,"(director, business development, 20)",director,business development,20
113,"director, content marketing",director content marketing,"(director, nan, 60)",director,,60
114,"director, data governance",director data governance,"(director, data governance, 95)",director,data governance,95
115,"director, data service delivery",director data service delivery,"(director, data, 65)",director,data,65
116,"director, global financial systems",director global financial systems,"(director, nan, 60)",director,,60
117,"director, global privacy bric",director global privacy bric,"(director, nan, 60)",director,,60
118,"director, market intelligence",director market intelligence,"(director, nan, 60)",director,,60
119,"director, security and privacy",director security and privacy,"(director, nan, 60)",director,,60
120,ed,ed,"(nan, nan, 50)",,,50
121,edm consulting lead,enterprise data management consulting lead,"(manager, data management, 80)",manager,data management,80
122,edsc data team member,edsc data team member,"(nan, data, 55)",,data,55
123,emea data and anlytics lead,emea data and anlytics lead,"(manager, data, 63)",manager,data,63
124,enterprise architect,enterprise architect,"(nan, enterprise, 55)",,enterprise,55
125,enterprise architect manager,enterprise architect manager,"(manager, enterprise, 63)",manager,enterprise,63
126,enterprise data architect,enterprise data architect,"(individual contributer, data architect, 65)",individual contributer,data architect,65
127,enterprise information architect,enterprise information architect,"(individual contributer, information architect, 70)",individual contributer,information architect,70
128,enterprise risk data governance,enterprise risk data governance,"(individual contributer, data governance, 80)",individual contributer,data governance,80
129,enterprise solution engineer,enterprise solution engineer,"(nan, enterprise, 55)",,enterprise,55
130,enterprise solutions,enterprise solutions,"(nan, enterprise, 55)",,enterprise,55
131,enterprise security architect,enterprise security architect,"(nan, enterprise, 55)",,enterprise,55
132,environmental services professional,environmental services professional,"(nan, nan, 50)",,,50
133,executive director,executive director,"(c-level, nan, 65)",c-level,,65
134,field marketing,field marketing,"(nan, nan, 50)",,,50
135,financial services solutions architect,financial services solutions architect,"(nan, nan, 50)",,,50
136,fondateur,fondateur,"(nan, nan, 50)",,,50
137,founder,founder,"(nan, nan, 50)",,,50
138,founder & managing director,founder managing director,"(director, nan, 60)",director,,60
139,freelance it manager,freelance it manager,"(manager, nan, 58)",manager,,58
140,freelancer,freelancer,"(nan, nan, 50)",,,50
141,future collibra product manager,future collibra product manager,"(manager, nan, 58)",manager,,58
142,gdpr programme consultant,gdpr programme consultant,"(consultant, nan, 51)",consultant,,51
143,gdpr project manager,gdpr project manager,"(manager, nan, 58)",manager,,58
144,general counsel,general counsel,"(nan, nan, 50)",,,50
145,global compliance specialist,global compliance specialist,"(individual contributer, compliance, 63)",individual contributer,compliance,63
146,global head of business development - insurance,global head of business development insurance,"(department head, business development, 21)",department head,business development,21
147,global head of master data management,global head of master data management,"(department head, data management, 85)",department head,data management,85
148,global pre-sales,global pre sales,"(individual contributer, sales, 13)",individual contributer,sales,13
149,glogal head of marketing,glogal head of marketing,"(department head, nan, 61)",department head,,61
150,gouvernance et architecture des donnã©es,gouvernance et architecture des donn es,"(nan, nan, 50)",,,50
151,graduate trainee customer and counterparty data,graduate trainee customer and counterparty data,"(nan, data, 55)",,data,55
152,group data protection manager,group data protection manager,"(manager, data protection, 73)",manager,data protection,73
153,head internal communication,head internal communication,"(department head, nan, 61)",department head,,61
154,head of business data architecture,head of business data architecture,"(department head, data architect, 80)",department head,data architect,80
155,head of change,head of change,"(department head, nan, 61)",department head,,61
156,head of data & business insight,head of data business insight,"(department head, data, 66)",department head,data,66
157,head of data governance,head of data governance,"(department head, data governance, 95)",department head,data governance,95
158,head of data governance practice,head of data governance practice,"(department head, data governance, 95)",department head,data governance,95
159,head of data governance stewardship  & tools,head of data governance stewardship tools,"(department head, data governance, 95)",department head,data governance,95
160,head of data governance and compliance,head of data governance and compliance,"(department head, data governance, 95)",department head,data governance,95
161,head of data management,head of data management,"(department head, data management, 85)",department head,data management,85
162,head of data quality,head of data quality,"(department head, data quality, 85)",department head,data quality,85
163,head of ict governance,head of ict governance,"(department head, governance, 71)",department head,governance,71
164,head of it data services,head of it data services,"(department head, data services, 80)",department head,data services,80
165,head of marketing,head of marketing,"(department head, nan, 61)",department head,,61
166,head of regulatory services,head of regulatory services,"(department head, nan, 61)",department head,,61
167,head of risk architecture,head of risk architecture,"(department head, nan, 61)",department head,,61
168,"head of traffic, content, search & relevancy",head of traffic content search relevancy,"(department head, nan, 61)",department head,,61
169,id,id,"(nan, nan, 50)",,,50
170,im consultant,im consultant,"(consultant, nan, 51)",consultant,,51
171,iso,iso,"(nan, nan, 50)",,,50
172,it,it,"(nan, nan, 50)",,,50
173,it - manager,it manager,"(manager, nan, 58)",manager,,58
174,it change- data governance employee,it change data governance employee,"(individual contributer, data governance, 80)",individual contributer,data governance,80
175,it consultant,it consultant,"(consultant, nan, 51)",consultant,,51
176,it data privacy manager,it data privacy manager,"(manager, data, 63)",manager,data,63
177,it director,it director,"(director, nan, 60)",director,,60
178,it manager,it manager,"(manager, nan, 58)",manager,,58
179,it principal,it principal,"(individual contributer, nan, 53)",individual contributer,,53
180,it project manager,it project manager,"(manager, nan, 58)",manager,,58
181,it senior expert,it senior expert,"(individual contributer, nan, 53)",individual contributer,,53
182,it tooling responsible,it tooling responsible,"(nan, nan, 50)",,,50
183,it consulting,it consulting,"(nan, nan, 50)",,,50
184,informatiearchitect,informatiearchitect,"(nan, nan, 50)",,,50
185,information architect,information architect,"(individual contributer, information architect, 70)",individual contributer,information architect,70
186,information risk lead,information risk lead,"(manager, information, 65)",manager,information,65
187,internal audit senior,internal audit senior,"(individual contributer, nan, 53)",individual contributer,,53
188,internal auditor,internal auditor,"(nan, nan, 50)",,,50
189,lead ba,lead business analyst,"(manager, business analyst, 65)",manager,business analyst,65
190,lead data consultant,lead data consultant,"(manager, data, 63)",manager,data,63
191,lead information security architect,lead information security architect,"(manager, information, 65)",manager,information,65
192,lead regional privacy officer emea,lead regional privacy officer emea,"(manager, nan, 58)",manager,,58
193,lead of crm & mdm,lead of crm master data manager,"(manager, data manager, 80)",manager,data manager,80
194,legal counsel,legal counsel,"(nan, nan, 50)",,,50
195,legal counsel - compliance,legal counsel compliance,"(nan, compliance, 60)",,compliance,60
196,md,md,"(nan, nan, 50)",,,50
197,"management consultant, data advisory & consulting, financial services",management consultant data advisory consulting financial services,"(consultant, data, 56)",consultant,data,56
198,manager,manager,"(manager, nan, 58)",manager,,58
199,manager - group risk reporting,manager group risk reporting,"(manager, reporting, 68)",manager,reporting,68
200,manager data governance,manager data governance,"(manager, data governance, 95)",manager,data governance,95
201,manager operation,manager operation,"(manager, nan, 58)",manager,,58
202,"manager, root cause, chief data office",manager root cause chief data office,"(c-level, data office, 100)",c-level,data office,100
203,managing consultant,managing consultant,"(manager, nan, 58)",manager,,58
204,managing director,managing director,"(director, nan, 60)",director,,60
205,"managing director, chief technology officer, data acquisition & hosting",managing director chief technology officer data acquisition hosting,"(c-level, data, 70)",c-level,data,70
206,managing partner,managing partner,"(manager, nan, 58)",manager,,58
207,market tech sales manager,market tech sales manager,"(manager, sales, 18)",manager,sales,18
208,marketing,marketing,"(nan, nan, 50)",,,50
209,marketing manager,marketing manager,"(manager, nan, 58)",manager,,58
210,master data manager,master data manager,"(manager, data manager, 80)",manager,data manager,80
211,mg dir,manager director,"(director, nan, 60)",director,,60
212,"mgr, customer success",manager customer success,"(manager, nan, 58)",manager,,58
213,mr.,mr,"(nan, nan, 50)",,,50
214,ms,ms,"(nan, nan, 50)",,,50
215,nordic solution lead - cloud and managed services,nordic solution lead cloud and managed services,"(manager, nan, 58)",manager,,58
216,ops director,ops director,"(director, nan, 60)",director,,60
217,orm officer,orm officer,"(nan, nan, 50)",,,50
218,officer,officer,"(nan, nan, 50)",,,50
219,operations,operations,"(nan, operations, 55)",,operations,55
220,operations manager,operations manager,"(manager, operations, 63)",manager,operations,63
221,owner,owner,"(nan, nan, 50)",,,50
222,pm,project manager,"(manager, nan, 58)",manager,,58
223,pm global standards,project manager global standards,"(manager, nan, 58)",manager,,58
